Results of counting self-avoidong walks (SAW) on the honeycomb lattice.
Using Zbarsky's algorithm.
The results were obtained by running the program on the Dutch National Supercomputer Snellius, using 44 cores and running for two days.
The times spend by each core were added up.

n = length of SAW
c = number of SAWs of length n
t = calculation time of this step in seconds
S = maximum number of signatures that had to be stored at once at this step

    n, c, t, S,
    2, 6, 0.0012109999999999998, 6.0,
    3, 12, 0.000294, 10.0,
    4, 24, 0.00037900000000000027, 17.0,
    5, 48, 0.001624, 35.0,
    6, 90, 0.00234, 44.0,
    7, 174, 0.010457999999999999, 111.0,
    8, 336, 0.019087, 168.0,
    9, 648, 0.040762999999999994, 232.0,
    10, 1218, 0.13438700000000003, 328.0,
    11, 2328, 0.26559199999999994, 556.0,
    12, 4416, 0.40405200000000013, 808.0,
    13, 8388, 1.4808040000000002, 1380.0,
    14, 15780, 2.1889309999999997, 1933.0,
    15, 29892, 3.7060949999999995, 2583.0,
    16, 56268, 10.933458999999997, 3617.0,
    17, 106200, 17.388679000000003, 5065.0,
    18, 199350, 24.906113, 6744.0,
    19, 375504, 38.79777300000001, 8676.0,
    20, 704304, 108.569709, 13445.0,
    21, 1323996, 159.091767, 18657.0,
    22, 2479692, 215.73930600000003, 25248.0,
    23, 4654464, 316.3334039999999, 35186.0,
    24, 8710212, 869.4506339999999, 52304.0,
    25, 16328220, 1213.975913, 72289.0,
    26, 30526374, 1609.1726670000003, 97274.0,
    27, 57161568, 4204.309195, 150601.0,
    28, 106794084, 5981.287257000002, 196425.0,
    29, 199788408, 8027.50064, 276680.0,
    30, 372996450, 23282.150026, 478572.0,
    31, 697217994, 32878.552553, 608416.0,
    32, 1300954248, 38106.66931200001, 760289.0,
    33, 2430053136, 126045.448733, 1050929.0,
    34, 4531816950, 174276.72363000002, 1375639.0,
    35, 8459583678, 239733.44091899996, 1824077.0,
    36, 15769091448, 318487.19873, 2365745.0,
    37, 29419727280, 868484.82422, 4426416.0,
    38, 54816035922, 1183690.1210929998, 5913137.0,
    39, 102216080286, 1582286.6953140004, 7729145.0,
    40, 190380602052, 2046854.8906210004, 9923514.0,
